Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
BARB STIEVE,THE DOW CHEMICAL COMPANY - ,DOW GLOBAL TECHNOLOGIES LLC - ,CUTTING FLUIDS WITH IMPROVED PERFORMANCE,05-04-2012,02-08-2012,
MINTZ LEVIN COHN FERRIS ET AL.,ROSENTHAL ZEV - FELICE JEFFREY - ,LOGICAL OPERATIONS INC. - ,Multi-Platform Learning Environment,17-07-2013,23-01-2014,
PAUL HASTINGS LLP,WRIGHT MACHINE TOOL COMPANY INC. - ,NEWRIGHT LLC - ,SAW SHARPENER,10-09-1993,05-12-1995,
ALLERGAN INC.,GORALTCHOUK ALEXEI - THOMPSON JORDAN M. - ABIAD MIRIAM M. - MA KEVIN A. - ,ALLERGAN INC. - ,IMPLANTABLE MATERIALS,06-05-2014,28-08-2014,
ROBERT J. WARD,EDWARD KEILHAUER MARKETING INCORPORATED - ,CORE PRODUCTS INTERNATIONAL INC. - ,TOTAL SPINAL SUPPORT,07-06-2002,11-12-2003,29-11-2005,
GEORGE LIKOUREZOS ESQ.,YOUNG MICHAEL JOHN RADLEY - ,ORTHOSONICS LIMITED - ,BONE RESECTOR,05-01-2012,19-04-2012,
PERKINS COIE LLP,MARTIN PATRICK JOHN - SENIOR PAUL - ,SOLAR BRIGHT LIMITED - ,ROAD MARKER OR LIGHT BASED WARNING DEVICE,11-07-2014,01-01-2015,
LAURA VESSELLA,LEE WOONJOO - LEE SEUNG - ZHANG XIN - RABIN ODED - BRIBER ROBERT - ,UNIVERSITY OF MARYLAND COLLEGE PARK - ,Nanoparticle array with tunable nanoparticle size and separation,01-05-2013,07-11-2013,
LDLKM,NEUROSTRUCTURES INC. - ,HOWMEDICA OSTEONICS CORP. - ,Anterior cervical plate,19-07-2011,24-01-2013,11-03-2014,
LDLKM,NEUROSTRUCTURES INC. - ,HOWMEDICA OSTEONICS CORP. - ,ANTERIOR CERVICAL PLATE,06-08-2014,27-11-2014,
WOLF GREENFIELD,IRVINE DARRELL J. - ZHENG YIRAN - ,MASSACHUSETTS INSTITUTE OF TECHNOLOGY - ,IN VIVO TARGETING OF CELLS WITH LIGAND-CONJUGATED PARTICLES,19-06-2014,25-12-2014,
BARB STIEVE,YU WANGLIN - CUTHBERT JOHN B - AGUILAR DANIEL A - ,DOW GLOBAL TECHNOLOGIES LLC - ,CUTTING FLUIDS WITH IMPROVED PERFORMANCE,05-04-2012,02-08-2012,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,MOISSINAC HENRI - PEILE LAURA ROBYN - WONG JEFFREY - AQRAOU JACOB - ,EBAY INC. - ,PRODUCT-BASED ADVERTISING,24-10-2012,28-02-2013,20-08-2013,
MCCORMICK PAULDING & HUBER LLP,USARTHRO LLC - ,HOLLISTER INCORPORATED - ,SYSTEMS AND METHODS FOR PROVIDING A SHEAR REDUCTION SYSTEM FOR AN ORTHOPEDIC CAST,12-07-2014,22-01-2015,
MCCORMICK PAULDING & HUBER LLP,USARTHRO LLC - ,HOLLISTER INCORPORATED - ,SYSTEMS AND METHODS FOR PROVIDING A TOTAL CONTACT AND OFFLOADING CAST,12-07-2014,22-01-2015,
MCCORMICK PAULDING & HUBER LLP,USARTHRO LLC - ,HOLLISTER INCORPORATED - ,TOTAL CONTACT AND OFFLOADING CAST SYSTEM,12-07-2014,22-01-2015,
MCCORMICK PAULDING & HUBER LLP,USARTHRO LLC - ,HOLLISTER INCORPORATED - ,SYSTEMS AND METHODS FOR PROVIDING AN ORTHOPEDIC FOOT SUPPORT,12-07-2014,22-01-2015,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,BOLIVAR ALVARO - ,EBAY INC. - ,SUGGESTED ITEM CATEGORY SYSTEMS AND METHODS,17-09-2010,24-03-2011,25-06-2013,
RUSSELL NG PLLC,RED DOG MOBILE SHELTERS LLC (TEXAS) - ,RED DOG MOBILE SHELTERS LLC (DELAWARE) - ,RE-DEPLOYABLE ABOVE GROUND SHELTER,14-10-2009,15-04-2010,20-03-2012,
RUSSELL NG PLLC,RED DOG MOBILE SHELTERS LLC (TEXAS) - ,RED DOG MOBILE SHELTERS LLC (DELAWARE) - ,SHELTER,17-01-2013,09-07-2013,
RUSSELL NG PLLC,RED DOG MOBILE SHELTERS LLC (TEXAS) - ,RED DOG MOBILE SHELTERS LLC (DELAWARE) - ,RE-DEPLOYABLE MOBILE ABOVE GROUND SHELTER,17-01-2013,06-06-2013,17-09-2013,
HUNTON & WILLIAMS LLP,ARNAUT GRETA - BOETS ANNEMIE - VANNESTE STIJN - VAN RIE JEROEN - VAN HOUDT SARA - ,AVENTIS CROPSCIENCE N.V. - ,NOVEL BACILLUS THURINGIENSIS INSECTICIDAL PROTEINS,07-05-2012,11-10-2012,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,BOLIVAR ALVARO - ,EBAY INC. - ,EXPANSION OF DATABASE SEARCH QUERIES,03-04-2012,26-07-2012,
MICHAEL J BRIGNATI PH.D,CURTIS WAYNE R. - ,THE PENN STATE RESEARCH FOUNDATION - ,METHOD AND APPARATUS FOR ASEPTIC GROWTH OF CELLS AND/OR MICROORGANISMS,12-06-2001,18-10-2001,23-03-2004,
DUNLAP CODDING P.C.,PRATT CHRISTINE - ,UNIVERSITY OF OTTAWA - ,ESTROGENIC COMPOUNDS PROCESS FOR THEIR PRODUCTION AND PHARMACEUTICAL USES THEREOF,07-06-2013,17-10-2013,10-02-2015,
PERKINS COIE LLP,SALAMAT BIJAN - SANGUINETTI JORGE J. - MYLES ROBERT J. - STEPANIAN AVETIS - GABLER ANDREW K. - ,MASON ELECTRIC CO. - ,COMPLEX-DYNAMIC AIR AND GROUND VEHICLE CONTROL INCEPTOR,17-07-2013,23-01-2014,
HANSEN IP LAW PLLC,DOW CHEMICAL INTERNATIONAL PVT. LTD. - ,DOW INTERNATIONAL TECHNOLOGY CORPORATION - ,METHOD OF STARTING-UP A PROCESS OF PRODUCING AN ALKYLENE OXIDE USING A HIGH-EFFICIENCY CATALYST,02-10-2013,23-01-2014,
FINNEGAN HENDERSON FARABOW GARRETT,BHATTI RAFAE - MARTIN PAUL D. - ,ACCENTURE GLOBAL SERVICES LIMITED - ,HEALTHCARE PRIVACY BREACH PREVENTION THROUGH INTEGRATED AUDIT AND ACCESS CONTROL,13-03-2013,05-12-2013,
THE INVENTION SCIENCE FUND I LLC,SEARETE LLC - ,THE INVENTION SCIENCE FUND I LLC - ,Remote control of osmotic pump device,13-12-2005,14-06-2007,
LOWE GRAHAM JONES,EVRI INC. - ,VCVC III LLC - ,NLP-BASED SYSTEMS AND METHODS FOR PROVIDING QUOTATIONS,31-01-2014,29-05-2014,
MCHALE & SLAVIN P.A.,CUEVA-MENDEZ GUILLERMO DE LA - ,CUEVA-MENDEZ GUILLERMO DE LA - MEDICAL RESEARCH COUNCIL - ,Systems and Methods for Diminishing Cell Growth and Inducing Selective Killing of Target Cells,14-03-2014,20-11-2014,
BARB STIEVE,BANK DAVID H - SOUKHOJAK ANDREY N - SEHANOBISH KAYLAN - MCLEOD DAVID G - ,DOW GLOBAL TECHNOLOGIES LLC - ,THERMAL ENERGY STORAGE MATERIALS,13-12-2011,30-08-2012,
OBLON ET AL.,NAMAI HAYATO - NAKAHARA KAZUO - IKEDA NORIHIKO - ,JSR CORPORATION - ,PHOTORESIST COMPOSITION RESIST PATTERN-FORMING METHOD COMPOUND ACID GENERATING AGENT AND PHOTODEGRADABLE BASE,27-08-2014,11-12-2014,
MC DONNELL BOEHNEN HULBERT & BERGHOFF,KRISTIANSEN KARSTEN - MAINKAR PRATHAMA S. - MEYER JEAN-PHILIPPE - SORENSEN ALEXANDRA SANTANA - ,EVOLVA SA - ,PPAR MODULATORS,24-03-2014,25-09-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,BOYD MARK J. - SKYBERG ROLF - ,EBAY INC. - ,METHOD AND SYSTEM TO VERIFY A TRANSACTION,24-05-2010,16-09-2010,
HANSEN IP LAW PLLC,UNION CARBIDE CHEMICALS & PLASTICS TECHNOLOGY LLC - ,THE DOW CHEMICAL COMPANY - ,METHOD OF STARTING-UP A PROCESS OF PRODUCING AN ALKYLENE OXIDE USING A HIGH-EFFICIENCY CATALYST,02-10-2013,23-01-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,TANG XIAOFENG - DURAN SALVADOR - MINTON JOEL R. - ,EBAY INC. - ,COMPUTER-IMPLEMENTED METHOD AND SYSTEM FOR COMBINING KEYWORDS INTO LOGICAL CLUSTERS THAT SHARE SIMILAR BEHAVIOR WITH RESPECT TO A CONSIDERED DIMENSION,20-08-2010,16-12-2010,18-02-2014,
DOCKET ADMINISTRATOR,RAFSKY LAWRENCE C. - UNGAR ROBERT E. - DONCHEZ THOMAS B. - KATZ LONNE F. - LEA CHRISTOPHER W. - ,ACQUIRE MEDIA VENTURES INC. - ,METHOD AND SYSTEM FOR PACING ACKING TIMING AND HANDICAPPING (PATH) FOR SIMULTANEOUS RECEIPT OF DOCUMENTS,15-10-2014,29-01-2015,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SCHLEICHER JOERG - ,EBAY INC. - ,AUTHORIZATION AND CAPTURE WITH MULTIPLE CURRENCIES,12-05-2010,02-09-2010,
THE INVENTION SCIENCE FUND I LLC,SEARETE LLC - ,THE INVENTION SCIENCE FUND I LLC - ,Beverage containers with detection capability,02-09-2009,03-03-2011,
CAROLE N SEATON,SYMCOM INC. - ,LITTELFUSE INC. - ,PROGRAMMABLE TIMER MODULE SYSTEM,04-01-2002,10-10-2002,
CAROLE N SEATON,SYMCOM INC. - ,LITTELFUSE INC. - ,Methods and systems for detecting a protection device operation,08-11-2005,10-05-2007,
CAROLE N SEATON,SYMCOM INC. - ,LITTELFUSE INC. - ,PUMP CONTROLLER,12-01-2001,18-07-2002,18-03-2003,
CAROLE N SEATON,SYMCOM INC. - ,LITTELFUSE INC. - ,Intelligent High Speed Automatic Transfer Switch,24-05-2012,29-11-2012,
ARTHUR P. TAN,OLSEN GAMING INC. - ,OLSEN ERIC B. - ,MYSTERY JACKPOT WITH BINGO GAME TRIGGER,13-12-2011,13-06-2013,28-01-2014,
ARTHUR P. TAN,OLSEN GAMING INC. - ,OLSEN ERIC B. - ,RANDOM PAYOUT SYSTEM AND METHOD FOR GAMING DEVICES,09-06-2011,09-08-2012,17-09-2013,
ARTHUR P. TAN,OLSEN GAMING INC. - ,OLSEN ERIC B. - ,MYSTERY-BINGO JACKPOT WITH INCREASED PAYOUT FREQUENCY,03-01-2013,19-09-2013,30-09-2014,
ARTHUR P. TAN,OLSEN GAMING INC. - ,OLSEN ERIC B. - ,MYSTERY JACKPOT WITH RESTRICTED PAYOUT SYSTEM AND METHOD THEREFOR,30-09-2011,04-04-2013,30-04-2013,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SHAH SEEMA - NASH ADAM - GUPTA RAGHAV - ARORA ADITYA - FOSTER BENJAMIN DAVID - SUBRAMANIAM SRIKANTH - ANSARI SUHAIL - STONESTREET XAVIER - RAMAN VIJAY - LEON JEAN-MICHEL - ,EBAY INC. - ,METHODS AND SYSTEMS TO COMMUNICATE INFORMATION,17-11-2009,10-06-2010,08-11-2011,
FENGLING LI,BARBER TIMOTHY P. - ,KEYNETICS INC. - ,SYSTEM FOR SECURE ENROLLMENT AND SECURE VERIFICATION OF NETWORK USERS BY A CENTRALIZED IDENTIFICATION SERVICE,28-02-2014,26-06-2014,
SHAY GLENN LLP,REILEY MARK A. - LERMAN JUSTIN - MAULDIN RICHARD G. - ,SI-BONE INC. - ,SYSTEMS AND METHODS FOR THE FIXATION OR FUSION OF BONE USING COMPRESSIVE IMPLANTS,09-05-2014,04-09-2014,
CAROLE N SEATON,SSAC LLC - ,LITTELFUSE INC. - ,CIRCUIT APPARATUS FOR SENSING LINE CONDITIONS IN A THREE PHASE POWER LINE,19-05-2000,01-04-2003,
CAROLE N SEATON,SSAC LLC - ,LITTELFUSE INC. - ,MODE SELECTOR APPARATUS,14-02-2003,31-05-2005,
CAROLE N SEATON,SSAC LLC - ,LITTELFUSE INC. - ,CURRENT SENSING METHOD AND APPARATUS,17-06-1997,21-03-2000,
CAROLE N SEATON,SSAC LLC - ,LITTELFUSE INC. - ,EQUIPMENT LOAD SAFETY CIRCUIT,29-12-2000,01-07-2003,
CAROLE N SEATON,SSAC LLC - ,LITTELFUSE INC. - ,TIMER CIRCUIT FOR HEATING OR AIR CONDITIONER UNIT,12-12-1996,22-09-1998,
FERRAIUOLI LLC,LELKES ANDRAS - ,PAPST LICENSING GMBH & CO. KG - ,Control Unit For An Electric Motor In Particular For A Fan Motor,31-01-2012,23-05-2013,
FROMMER LAWRENCE & HAUG,ISAEV SERGEI KONSTANTINOVICH - ,ISAEV SERGEI KONSTANTINOVICH - SHRAMKO ANDREY VALER'EVICH - OMAROV VALERIY IGOREVICH - GITA DMITRI GEORGIEVICH - ,Method for Producing Mechanical Energy Single-Flow Turbine and Double-Flow Turbine and Turbo-Jet Apparatus Therefor,05-02-2014,05-02-2015,
WILLIAM A. JOHNSTON,CYGNUS GLOBAL LLC - ,JO-MAR OF OHIO LLC - ,TAILGATE SENSOR,15-03-2013,05-12-2013,
BARB STIEVE,QI YU DONG - TAI XIANGYANG - ,DOW CHEMICAL (CHINA) COMPANY LIMITED - ,PHOSPHOROUS-CONTAINING FLAME RETARDANTS FOR POLYURETHANE FOAMS,07-11-2013,27-02-2014,
ALSTON & BIRD LLP,CHAGANTI RAJU S.K. - HOULDSWORTH JANE - ,CANCER GENETICS INC. - ,METHODS FOR DETECTING HUMAN PAPILLOMAVIRUS-ASSOCATED CANCERS,23-09-2014,29-01-2015,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,COMBINATIONS OF CYCLOHEXANEDIONE OXIME HERBICIDES AND SAFENERS,16-07-2003,29-01-2004,13-06-2006,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,CONCENTRATED WATER-BASED DISPERSIONS FOR CROP PROTECTION,27-05-2005,01-12-2005,07-02-2012,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,PROCESS FOR PREPARING OPTICALLY ACTIVE CYCLIC AMINES,28-12-2005,06-07-2006,09-10-2012,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,HERBICIDE COMBINATIONS COMPRISING SPECIFIC SULFONYLUREAS,18-07-2002,27-03-2003,17-04-2012,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,PROCESS FOR PREPARING ACYLSULFAMOYLBENZAMIDES,11-09-2009,15-04-2010,07-08-2012,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,LOW-FOAM AQUEOUS FORMULATIONS FOR CROP PROTECTION,27-05-2005,01-12-2005,02-12-2014,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,Concentrated aqueous formulations for crop protection,27-05-2005,01-12-2005,
FROMMER LAWRENCE & HAUG LLP,BAYER CROPSCIENCE AG - ,BAYER INTELLECTUAL PROPERTY GMBH - ,2-AMINO-4-BICYCLYLAMINO-6H-135-TRIAZINES PROCESSES FOR THEIR PREPARATION AND THEIR USE AS HERBICIDES AND PLANT GROWTH REGULATORS,18-02-2003,01-01-2004,20-01-2009,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,COMBINED CYCLE POWER GENERATING DEVICE,13-07-2011,09-02-2012,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,METHOD AND DEVICE FOR COOLING STEAM TURBINE GENERATING FACILITY,12-09-2011,02-02-2012,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,TURBINE ROTOR AND MANUFACTURING METHOD OF TURBINE ROTOR,12-02-2010,25-08-2011,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,Steam turbine facility,28-12-2012,02-01-2014,30-09-2014,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,SEALING STRUCTURE FOR STEAM TURBINE,08-04-2013,08-05-2014,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,COOLING METHOD AND COOLING DEVICE FOR A SINGLE-FLOW TURBINE,02-12-2010,25-08-2011,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,METHOD FOR MANUFACTURING A TURBINE ROTOR,15-03-2013,05-06-2014,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,Weld bead cutting device,21-09-2011,29-03-2012,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,STEAM TURBINE FACILITY,18-02-2010,10-02-2011,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,SINGLE-CASING STEAM TURBINE AND COMBINED CYCLE POWER PLANT OF SINGLE-SHAFT TYPE,10-08-2012,22-08-2013,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,ROTARY MACHINE AND MOUNTING METHOD OF ATMOSPHERE RELIEF MECHANISM FOR ROTARY MACHINE,28-12-2012,31-10-2013,
WENDEROTH LIND & PONACK L.L.P.,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,STEAM VALVE,01-06-2011,08-12-2011,
FOLEY AND LARDNER LLP,INTEGRATED ILLUMINATION SYSTEMS INC. - ,ZAMPINI THOMAS II - ,SYSTEMS AND METHODS FOR PROVIDING AN OEM LEVEL NETWORKED LIGHTING SYSTEM,24-09-2008,02-04-2009,03-06-2014,
FOLEY AND LARDNER LLP,INTEGRATED ILLUMINATION SYSTEMS INC. - ,ZAMPINI THOMAS II - ,SYSTEMS AND METHODS FOR PROVIDING AN OEM LEVEL NETWORKED SYSTEM,30-05-2014,09-10-2014,
LARRY B. DONOVAN,TUROCY KENNETH - BESKITT WILLIAM D. - RYAN MIKE P. - KLEIN ERIC - PETERS DAVID A. - GRAEF H. THOMAS - SIMMONS BRYAN - SAVCIC MARKO - ,DIEBOLD SELF-SERVICE SYSTEMS DIVISION OF DIEBOLD INCORPORATED - ,BANKING APPARATUS CONTROLLED RESPONSIVE TO DATA BEARING RECORDS,01-06-2013,04-12-2014,
BARB STIEVE,DOW CHEMICAL (CHINA) COMPANY LIMITED - ,THE DOW CHEMICAL COMPANY - ,PHOSPHOROUS-CONTAINING FLAME RETARDANTS FOR POLYURETHANE FOAMS,07-11-2013,27-02-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,LOFTUS JOSH - SUNDARANATHA VENKAT - MONIER LOUIS MARCEL GINO - LEON JEAN-MICHEL - ARORA ADITYA - FOSTER BENJAMIN DAVID - SHAH SEEMA - ,EBAY INC. - ,METHOD AND SYSTEM TO ANALYZE RULES,10-05-2010,26-08-2010,25-10-2011,
MCHALE & SLAVIN P.A.,LEE BRENDAN - GUSE KILIAN - RUAN ZHECHAO - ,BAYLOR COLLEGE OF MEDICINE - ,Adenoviral-based biological delivery and expression system for use in the treatment of Osteoarthritis,29-07-2014,29-01-2015,
MCDERMOTT WILL & EMERY LLP,JEONG KI HWAN - MIN CHI YOUNG - JE MYOUNG KWON - ,KIA MOTORS CORPORATION - ,OUTSIDE HANDLE FOR SLIDING DOOR,07-03-2013,12-06-2014,
BARB STIEVE,THE DOW CHEMICAL COMPANY - ,DOW GLOBAL TECHNOLOGIES LLC - ,PHOSPHOROUS-CONTAINING FLAME RETARDANTS FOR POLYURETHANE FOAMS,07-11-2013,27-02-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SUNDARESAN NEELAKANTAN - LEE HENDRICK - ,EBAY INC. - ,COLLABORATIVE CONTENT EVALUATION,10-05-2011,01-09-2011,11-09-2012,
HOWARD SOBELMANSNELL & WILMER L.L.P.,HUSBANDS GARETH - HUTCHINSON PETER - MARKHAM STEVE - ,PLASTIC LOGIC LIMITED - ,ELECTRONIC DOCUMENT READING DEVICES,28-12-2009,28-04-2011,31-12-2013,
STEVEN H. VERSTEEG,PINEBROOK IMAGING SYSTEMS CORPORATION - ,PINEBROOK IMAGING TECHNOLOGY LTD - ,Optical Imaging Writer System,10-03-2014,10-07-2014,
MICHAEL LABLANC,LOGICBLOX INC. - ,SILICON VALLEY BANK - ,MAINTENANCE OF ACTIVE DATABASE QUERIES,20-12-2012,26-06-2014,
MICHAEL LABLANC,LOGICBLOX INC. - ,SILICON VALLEY BANK - ,SALIENT SAMPLING FOR QUERY SIZE ESTIMATION,06-06-2014,15-01-2015,
MICHAEL LABLANC,LOGICBLOX INC. - ,SILICON VALLEY BANK - ,LEAPFROG TREE-JOIN,05-09-2013,27-03-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SUNDARESAN NEELAKANTAN - ZINCHENKO VITALIY - ,EBAY INC. - ,METHOD AND SYSTEM FOR TRAINING A CATEGORIZATION  APPLICATION,26-08-2011,22-12-2011,31-07-2012,
COOLEY LLP,CARDONE MICHAEL H. - KOLODZIEJ ANDREW F. - RICHARD DAVID - ,EUTROPICS PHARMACEUTICALS INC. - ,COMPOSITIONS AND METHODS USEFUL FOR TREATING DISEASES,18-03-2014,07-08-2014,
IBM CORPORATION C/O AUSTIN IP LAW,WEI YAOGUANG - ,INTERNATIONAL BUSINESS MACHINES CORPORATION - ,SOLVING CONGESTION USING NET GROUPING,12-04-2012,17-10-2013,03-12-2013,
HOWARD SOBELMANSNELL & WILMER L.L.P.,HAYTON CARL - FARMER STEVE - HUTCHINSON PETER - HUSBANDS GARETH - PAN VICTOR T. - VENEGAS KENNETH R. - REEVES WILLIAM - ,PLASTIC LOGIC LIMITED - ,ELECTRONIC DOCUMENT READING DEVICES,25-11-2013,13-03-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,LOFTUS JOSH - SUNDARANATHA VENKAT - MONIER LOUIS MARCEL GINO - LEON JEAN-MICHEL - ARORA ADITYA - FOSTER BENJAMIN DAVID - SHAH SEEMA - ,EBAY INC. - ,METHOD AND SYSTEM TO TRANSFORM UNSTRUCTURED INFORMATION,06-12-2010,07-04-2011,12-03-2013,
FOLEY & LARDNER LLP,LAMBERT TONY L. - GARRELS CLAYTON C. - BOGARD DOUGLAS E. - HALLORAN DANIEL N. - MESUN RANDY O. - ,KOHLER CO. - ,MULTI-FLUSH MODE TOILET,26-02-2013,29-08-2013,
YVONNE PHAM,MTS MEDICATION TECHNOLOGIES INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS ADMINISTRATIVE AGENT - ,COMPACT STRUCTURE FOR AUTOMATICALLY FILLING SOLID PHARMACEUTICAL PRODUCT PACKAGES,14-05-2003,01-01-2004,09-08-2005,
PAUL TENG [2562/83543],DAIHATSU MOTOR CO. LTD. - ,CATALER CORPORATION - TOYOTA JIDOSHA KABUSHIKI KAISHA - ,OXYGEN STORAGE MATERIAL,05-01-2009,07-01-2010,
MICHAEL LABLANC,PREDICTIX LLC - ,SILICON VALLEY BANK - ,SYSTEMS AND METHODS FOR IDENTIFYING SETS OF SIMILAR PRODUCTS,16-04-2012,18-10-2012,25-03-2014,
MICHAEL LABLANC,PREDICTIX LLC - ,SILICON VALLEY BANK - ,SYSTEM AND METHOD FOR SELECTIVELY PRESENTING MULTI-DIMENSIONAL DATA IN TWO-DIMENSIONAL FORM,28-01-2002,05-10-2004,
DORSEY & WHITNEY LLP,THE REGENTS OF THE UNIVERSITY OF COLORADO A BODY CORPORATE - ,HERDT JULEE ANN - SCHAUERMANN KELLEN SCOTT - ,STRUCTURAL INSULATED BUILDING PANEL,15-06-2012,20-12-2012,
MORRIS & KAMLAY LLP,ALOQA GMBH - ,MOTOROLA MOBILITY GERMANY GMBH - ,Locating Method,17-06-2010,11-11-2010,
RABIN & BERDO P.C.,OH SU HWAN - YOON KI-HONG - KIM KISOO - KWON O-KYUN - KWON OH KEE - CHOI BYUNG-SEOK - KIM JONGBAE - ,ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE - ,SUPERLUMINESCENT DIODE METHOD OF MANUFACTURING THE SAME AND WAVELENGTH-TUNABLE EXTERNAL CAVITY LASER INCLUDING THE SAME,01-06-2012,06-12-2012,
STEVEN H. VERSTEEG,PINEBROOK IMAGING TECHNOLOGY LTD - ,PINEBROOK IMAGING INC. - ,Optical Imaging Writer System,10-03-2014,10-07-2014,
FITCH EVEN TABIN & FLANNERY LLP,WICKSTROM TIMOTHY K - BALLARD WILLIAM J - CHAN YING-TZU - LIN MEI-YU - FENG JEN NAN - ,KNOWLES ELECTRONICS LLC - ,Earphone Assembly With Moisture Resistance,09-09-2013,09-01-2014,
HOWARD SOBELMANSNELL & WILMER L.L.P.,MECHOSHADE SYSTEMS INC. - ,MECHOSHADE SYSTEMS INC. - ,TROUGH SHADE SYSTEM AND METHOD,07-11-2008,13-05-2010,13-09-2011,
FOLEY AND LARDNER LLP,ZAMPINI THOMAS II - ,BECO INC. - ,SYSTEMS AND METHODS FOR PROVIDING AN OEM LEVEL NETWORKED LIGHTING SYSTEM,24-09-2008,02-04-2009,03-06-2014,
FOLEY AND LARDNER LLP,ZAMPINI THOMAS II - ,BECO INC. - ,SYSTEMS AND METHODS FOR PROVIDING AN OEM LEVEL NETWORKED SYSTEM,30-05-2014,09-10-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,LOFTUS JOSH - SUNDARANATHA VENKAT - MONIER LOUIS MARCEL GINO - LEON JEAN-MICHEL - ARORA ADITYA - FOSTER BENJAMIN DAVID - SHAH SEEMA - ,EBAY INC. - ,IDENTIFYING AN ITEM BASED ON DATA ASSOCIATED WITH THE ITEM,13-08-2012,06-12-2012,09-12-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,LOFTUS JOSH - SUNDARANATHA VENKAT - MONIER LOUIS MARCEL GINO - LEON JEAN-MICHEL - ARORA ADITYA - FOSTER BENJAMIN DAVID - SHAH SEEMA - ,EBAY INC. - ,Identifying an item based on data inferred from information about the item,14-06-2010,30-09-2010,14-08-2012,
HOWARD SOBELMANSNELL & WILMER L.L.P.,MECHOSHADE SYSTEMS INC. - ,MECHOSHADE SYSTEMS INC. - ,TROUGH SHADE SYSTEM AND METHOD,07-11-2008,13-05-2010,13-09-2011,
